dest,source
_NHÓM0_,NHÓM_number_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_1,36_điểm,_lên_401,07_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_1,74_điểm,_lên_476,27_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Lúc_nghỉ_giữa_phiên,_Vn-Index_tăng_1,42_điểm,_lên_474,12_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Tạm_nghỉ_giữa_phiên,_Vn-Index_tăng_1,39_điểm,_lên_476,96_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên_sáng,_Vn-Index_tăng_1,94_điểm,_lên_502,77_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Lúc_nghỉ_giữa_phiên,_Vn-Index_tăng_0,55_điểm,_lên_497,63_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_nhẹ_0,83_điểm,_lên_508,54_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_0,79_điểm,_lên_512,02_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_3,81_điểm,_lên_512,34_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_1,94_điểm,_lên_506,36_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Lúc_nghỉ_giữa_phiên,_Vn-Index_tăng_1,76_điểm,_lên_515,66_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_2,1_điểm,_lên_554,02_điểm._",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_
"_Nghỉ_giữa_phiên,_Vn-Index_tăng_1,03_điểm,_lên_542,52_điểm._NHÓM_1_",phiên_Vn-Index_tăng_number_điểm_lên_number_điểm_NHÓM_number_
