dest,source
NHÓM 0 - 0 19512 : Hai mã PVD và BMP cùng trội 7 điểm,",NHÓM,0,0,19512,Hai,mã,PVD,BMP,trội,7"
"20164 : 3 mã KDC , BMP và SAM cùng tiến thêm 9 điểm",",20164,3,mã,KDC,BMP,SAM,tiến,9"
"25856 : VNM , GMD và FPT đều không tăng điểm nào",",25856,VNM,GMD,FPT"
"38152 : Các blue - chip DHG , FPT , SJS , VNM đều nhích lên 5",",38152,Các,blue,chip,DHG,FPT,SJS,VNM,nhích,5"
000 - 7,",000,7"
000 đồng,",000,đồng"
"45895 : BMC , IMP , PVD , VIC cùng tăng 5 điểm",",45895,BMC,IMP,PVD,VIC,5"
"56600 : DHG , FPT , VNM , STB cùng mất điểm",",56600,DHG,FPT,VNM,STB"
"58648 : FPT , DPM , HPG , PVD cũng tiến cùng xu_hướng",",58648,FPT,DPM,HPG,PVD,tiến,xu_hướng"
"125250 : 3 cổ_phiếu DHG , PPC và KDC đều tăng 0,06 điểm",",125250,3,cổ_phiếu,DHG,PPC,KDC,006"
"140030 : HPG và CTG đều tăng 0,07 điểm",",140030,HPG,CTG,007"
"145104 : VNM và BVH đều tăng 0,36 điểm",",145104,VNM,BVH,036"
"146298 : PVF , OGC và ALP đều tăng 0,04 điểm",",146298,PVF,OGC,ALP,004"
"161305 : PPC , KBC , REE , HAG , PET đều tăng điểm",",161305,PPC,KBC,REE,HAG,PET"
NHÓM 0 - 1 15186 : Hai đại_gia NKD và VNM đều có mức tăng 2,",NHÓM,0,1,15186,Hai,đại_gia,NKD,VNM,2"
500 đồng,",500,đồng"
21557 : Trong số blue - chip có GMD tiếp_tục giảm 8,",21557,Trong,blue,chip,GMD,8"
000 đồng,",000,đồng"
25371 : Trong các mã tăng_giá có BVS thêm 9,",25371,Trong,mã,tăng_giá,BVS,9"
"200 đồng , SSI tăng 1",",200,đồng,SSI,1"
200 đồng,",200,đồng"
"34176 : Trong số các bluechip , đại_gia_công_nghệ FPT giảm 11",",34176,Trong,bluechip,đại_gia_công_nghệ,FPT,11"
"000 đồng , còn 240",",000,đồng,240"
000 đồng,",000,đồng"
"53395 : HSG , PVF cùng STB giao_dịch khiêm_tốn , đều dưới 500 nghìn cổ_phiếu",",53395,HSG,PVF,STB,giao_dịch,khiêm_tốn,500,nghìn,cổ_phiếu"
"91751 : Đến cuối đợt 2 , BVH , MSN cùng mất 4",",91751,Đến,đợt,2,BVH,MSN,4"
000 đồng một cổ_phiếu,",000,đồng,cổ_phiếu"
100025 : 2 trụ_cột là MSN và VIC tăng 1,",100025,2,trụ_cột,MSN,VIC,1"
000 - 1,",000,1"
500 đồng mỗi cổ_phiếu,",500,đồng,cổ_phiếu"
"147513 : Trong đó , EIB , STB , VCB giảm khoảng 100 đến 200 đồng",",147513,Trong,EIB,STB,VCB,100,200,đồng"
"147516 : Cụ_thể , DIG , IJC , NTL , OGC , REE tăng từ 100 đến 500 đồng",",147516,Cụ_thể,DIG,IJC,NTL,OGC,REE,100,500,đồng"
